Date,Value
3/12/2013,6224.285799
4/12/2013,6013.29306
5/12/2013,6013.29306
6/12/2013,6751.767646
7/12/2013,6294.616711
8/12/2013,6294.616711
9/12/2013,9076.027624
10/12/2013,7134.389874
11/12/2013,7134.389874
12/12/2013,7495.624804
13/12/2013,9030.873258
14/12/2013,9030.873258
15/12/2013,8714.792694
16/12/2013,8895.410159
17/12/2013,8895.410159
18/12/2013,9753.343119
19/12/2013,9121.181991
20/12/2013,9121.181991
21/12/2013,9744.865734
22/12/2013,9333.937661
23/12/2013,9333.937661
24/12/2013,10097.0898
25/12/2013,10508.01787
26/12/2013,10508.01787
27/12/2013,9627.457714
28/12/2013,8805.601567
29/12/2013,8805.601567
30/12/2013,9920.977766
31/12/2013,11740.80209
1/1/2014,11740.80209
2/1/2014,11493.6341
3/1/2014,10435.93771
4/1/2014,10435.93771
5/1/2014,12480.81739
6/1/2014,13185.94832
7/1/2014,13185.94832
8/1/2014,12762.86976
9/1/2014,14243.64471
10/1/2014,14243.64471
11/1/2014,13397.4876
12/1/2014,18058.64887
13/1/2014,18058.64887
14/1/2014,15211.96531
15/1/2014,17791.77229
16/1/2014,17791.77229
17/1/2014,14500.29442
18/1/2014,16368.43051
19/1/2014,16368.43051
20/1/2014,15300.92417
21/1/2014,16902.18368
22/1/2014,16902.18368
23/1/2014,21375.12675
24/1/2014,16903.79922
25/1/2014,16903.79922
26/1/2014,17558.13983
27/1/2014,18103.42368
28/1/2014,18103.42368
29/1/2014,17449.08306
30/1/2014,20066.44552
31/1/2014,20066.44552
1/2/2014,19412.10491
2/2/2014,21157.01322
3/2/2014,21157.01322
4/2/2014,22283.13349
5/2/2014,21761.8906
6/2/2014,21761.8906
7/2/2014,22804.37638
8/2/2014,19676.91905
9/2/2014,19676.91905
10/2/2014,21761.8906
11/2/2014,21761.8906
12/2/2014,21761.8906
13/2/2014,24889.34793
14/2/2014,23455.92999
15/2/2014,23455.92999
16/2/2014,25824.93977
17/2/2014,25980.5117
18/2/2014,25980.5117
19/2/2014,26602.7994
20/2/2014,26136.08362
21/2/2014,26136.08362
22/2/2014,28314.09059
23/2/2014,28314.09059
24/2/2014,28314.09059
25/2/2014,28158.51867
26/2/2014,28314.09059
27/2/2014,28314.09059
28/2/2014,28072.73751
1/3/2014,28262.41817
2/3/2014,28262.41817
3/3/2014,26365.61158
4/3/2014,30538.58608
5/3/2014,30538.58608
6/3/2014,31676.67003
7/3/2014,33194.1153
8/3/2014,33194.1153
9/3/2014,31297.30871
10/3/2014,31866.35069
11/3/2014,31866.35069
12/3/2014,35706.23191
13/3/2014,29367.84755
14/3/2014,29367.84755
15/3/2014,33382.15765
16/3/2014,37607.74722
17/3/2014,37607.74722
18/3/2014,32748.31921
19/3/2014,35283.67296
20/3/2014,35283.67296
21/3/2014,37185.18827
22/3/2014,43312.29315
23/3/2014,43312.29315
24/3/2014,37582.75087
25/3/2014,39324.9976
26/3/2014,39324.9976
27/3/2014,45547.30735
28/3/2014,42560.59867
29/3/2014,42560.59867
30/3/2014,41813.9215
31/3/2014,44551.73779
1/4/2014,44551.73779
2/4/2014,51769.6171
3/4/2014,50027.37037
4/4/2014,50027.37037
5/4/2014,43198.27922
6/4/2014,44415.13216
7/4/2014,44415.13216
8/4/2014,44110.91892
9/4/2014,53237.31594
