,averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1716,28.28854111884534,16797014.8,1223977,16.734765678069603
982,25.367656736087785,15059989.8,413787,13.714237185767088
1004,25.51075757972846,15146539.8,497567,13.87013081975313
1337,26.46626902475589,16069564.8,660743,14.767149001440584
806,24.6565877282272,14390639.8,275653,12.752188321069276
138,18.53960578238639,11709464.8,69776,6.898701221829672
1339,26.48531721972659,16073402.3,642264,14.723528375455292
91,17.257752652703065,11487964.8,80899,5.661054184795112
727,24.586320517129383,14100139.8,254194,12.629078628694945
1231,26.1438008362187,15871039.8,530408,14.437994553196605
175,19.405494234961303,11890739.8,108022,7.930774193910545
1055,25.829211310846997,15342264.8,437620,13.851445522221264
1680,27.974610820318624,16699452.3,1230813,16.514706748407992
1454,26.979015878699776,16291864.8,608289,14.98187600060926
329,22.334074926687094,12565864.8,169354,10.579615666896595
232,20.62714127426235,12148514.8,157747,9.118354678946783
728,24.586320517129383,14103314.8,261087,12.629078628694945
551,24.306385814300345,13460389.8,211248,12.53275663857208
1343,26.48531721972659,16081239.8,654614,14.767149001440584
1845,29.05171690376577,17044989.8,475738,17.205412301770128
174,19.405494234961303,11885214.8,109555,7.940298075708045
844,24.71699103992661,14530614.8,288023,12.819917672888415
1307,26.365172907884524,16012964.8,709141,14.64727882602404
1157,26.06560008891122,15746739.8,494905,14.306957477074183
743,24.587009905883985,14157964.8,238229,12.711598035641032
1917,29.414412335486087,17182483.55,690053,17.58769606570303
487,23.89722215494483,13213114.8,191493,12.228434229725105
1116,25.99112399600974,15569439.8,503204,14.124142238648629
356,22.6661489305172,12680214.8,183491,10.886047240044604
969,25.26067814705501,15008839.8,419932,13.669370528018154
1344,26.48531721972659,16083152.3,696386,14.704235175794338
112,17.743610416446685,11586989.8,82676,6.264094203225896
835,24.687878302147706,14497464.8,272463,12.76866380921324
602,24.398494321785293,13492864.8,190444,12.598719865717184
733,24.587009905883985,14120764.8,257381,12.806908215555028
1039,25.785860869973376,15234414.8,520928,14.07187769478703
836,24.687878302147706,14500889.8,268287,12.76866380921324
359,22.6661489305172,12692664.8,181616,10.948961065489412
1271,26.260600103964947,15920777.3,525340,14.411855014179238
164,19.05874455844729,11830764.8,66977,7.524893994441307
485,23.894826550857093,13203864.8,166050,12.18976004661383
1669,27.93112570837889,16650914.8,931680,16.161703789691654
711,24.624154903230973,14298014.8,255123,12.755860500872885
821,24.67984730065494,14445989.8,303868,12.797266940914604
807,24.6565877282272,14394314.8,253340,12.914707250639449
683,24.5824692248219,13997714.8,255965,12.755847518683414
1596,27.550895071449265,16539539.8,718715,15.980566539464943
680,24.5824692248219,13987214.8,247232,12.655764060187176
710,24.624154903230973,14294814.8,271116,12.727081536185944
221,20.377118543883952,12096664.8,114536,8.74745005677721
1689,28.09475513216069,16743739.8,1179829,16.408163500429477
1617,27.74434980123555,16604052.3,639802,15.828578734743129
1855,29.091959020044204,17064789.8,592865,17.43325202039376
448,23.57606938545032,13054489.8,176754,11.762961398435932
1797,28.886637153406323,16954302.3,494672,17.119740974177084
722,24.586320517129383,14082114.8,263066,12.696519909511837
1409,26.85666387994306,16208239.8,744240,15.08896516127263
1901,29.30998509101126,17175346.05,509930,17.383965971285864
796,24.6232570483854,14259564.8,342128,12.803415029332994
527,24.278684810950043,13369164.8,199833,12.530534720527678
102,17.436987824960372,11540689.8,54134,6.05365553564894
1328,26.459838134425603,16052414.8,659635,14.66716054822319
1862,29.22838644712838,17079239.8,651145,17.4019074203883
1442,26.937873935368604,16270414.8,689626,15.075918294613842
1743,28.68533314570008,16852027.3,814508,16.81866607147022
1199,26.031533534347616,15700814.8,491194,14.217896748399564
1269,26.280093898645948,15992802.3,584321,14.561061660436632
1085,25.910651642787165,15506214.8,465440,14.197744042883784
912,24.85448834534531,14782914.8,378895,13.137300480348014
65,16.875874900311366,11374964.8,60509,5.234970340098666
1550,27.480198226193966,16477177.3,641806,15.71964782691995
463,23.65373621088103,13111464.8,179492,11.96973828361869
438,23.57606938545032,13015564.8,188386,11.73574883543202
1888,29.273893804448885,17128008.55,638283,17.44237673343028
1358,26.54334876729877,16110564.8,649975,14.74327733184575
155,18.818242702953476,11788989.8,90270,7.338726489846018
432,23.54574301114768,12992114.8,185952,11.816285053427862
1071,25.841259649363167,15402114.8,479006,14.066740936268635
603,24.398494321785293,13496814.8,166785,12.551253328677555
561,24.4021875330426,13545314.8,216377,12.568739861790252
394,23.070415047320992,12834964.8,152355,11.277241275278636
1181,26.08455800265584,15805152.3,498664,14.15261517530493
888,24.831073102910143,14694589.8,325572,12.919293588439594
1240,26.1438008362187,15887889.8,496593,14.274766651298314
620,24.428042139374583,13714039.8,250309,12.601420433386547
652,24.51775263539847,13829864.8,231565,12.642340765348932
1381,26.76827115098242,16155889.8,658325,14.94883323720967
340,22.53478317576969,12614139.8,183742,10.70133550477069
1108,25.99112399600974,15541239.8,459124,14.199262868802665
1706,28.28334630196824,16776289.8,966713,16.521931496538812
1360,26.54334876729877,16115102.3,663085,14.96774451013022
488,24.03485322821861,13216514.8,191798,12.228434229725105
375,22.802816389684327,12757064.8,165300,11.143260757602228
100,17.436987824960372,11530039.8,64633,5.9132383568380815
472,23.705388211609577,13149489.8,182919,11.99427939267682
328,22.334074926687094,12561889.8,166917,10.579615666896595
1142,26.001380496176928,15612339.8,582328,14.188585847703663
1352,26.54334876729877,16098489.8,623555,14.879289089553748
1607,27.726331295732876,16585414.8,532701,15.88909773298243
1437,26.937873935368604,16261014.8,718080,15.207687572300976
1166,26.08455800265584,15779264.8,400076,14.319230854170565
409,23.18767653208736,12895914.8,149467,11.596368912797216
1848,29.05171690376577,17050864.8,640762,17.323195337314136
346,22.53478317576969,12637414.8,132127,11.011033707777797
134,18.280648469395757,11690539.8,77030,6.801132256253098
252,21.072852696159597,12234489.8,147462,9.454295434433249
1128,26.016570661670904,15663239.8,478409,14.12833700411774
261,21.305228324763863,12276064.8,129277,9.581924233030112
540,24.296750102557667,13417089.8,198626,12.583081722304714
1215,26.10316319048687,15840964.8,427997,14.311718254537942
579,24.4196180584546,13667564.8,216010,12.558390823381464
1380,26.76827115098242,16154052.3,758515,15.081519678397203
245,20.88956233817724,12204864.8,97260,9.370825412172668
251,21.072852696159597,12229664.8,142544,9.486907020357208
1584,27.51223757993858,16512502.3,782822,15.854432099492923
286,21.68697606185889,12383364.8,154758,9.987915581386842
1642,28.00258467236103,16705239.8,911592,16.224439534950978
479,23.894826550857093,13179664.8,150731,12.134018063573224
1555,27.480198226193966,16486314.8,596154,15.590655706729924
1209,26.10316319048687,15830252.3,526727,14.356741937826474
482,23.894826550857093,13191064.8,190227,12.18976004661383
682,24.5824692248219,13994139.8,259956,12.755847518683414
327,22.174959612981585,12557964.8,192803,10.53430047066098
798,24.6232570483854,14266939.8,323601,12.73345644079786
1062,25.829211310846997,15368614.8,516152,13.970990673129208
303,21.95886112159677,12459089.8,196527,10.24255418900401
965,25.26067814705501,14993139.8,486000,13.39238374467081
1976,29.598133472634466,17303233.54,673177,17.81840001535588
1144,26.001380496176928,15620014.8,561728,14.2535437417307
1351,26.54334876729877,16096339.8,638259,14.75643541486478
1239,26.1438008362187,15886127.3,514307,14.437994553196605
817,24.67984730065494,14431664.8,285200,12.818620065416363
976,25.367656736087785,15036389.8,419640,13.46943213760708
900,24.832233384925196,14737764.8,334791,12.978023722291946
990,25.45065365565875,15090264.8,501450,13.57120378729566
932,24.910618767897788,14858964.8,357979,13.035206897596884
1653,28.00258467236103,16724827.3,945888,16.217924853671214
382,22.90406924509412,12786389.8,177592,11.263164684866997
648,24.443471314705103,13764064.8,292663,12.74412345961717
90,17.257752652703065,11483214.8,69872,5.734003184649311
370,22.802816389684327,12736389.8,168300,11.07951229772106
681,24.5824692248219,13990864.8,242044,12.663254732092453
1870,29.22838644712838,17093471.05,583318,17.44191275494226
1801,28.886637153406323,16961852.3,640379,16.997138651765383
1671,27.93112570837889,16654952.3,1057287,16.247646219481116
204,20.228121089582736,12020714.8,188789,8.523054585037134
1552,27.480198226193966,16480827.3,706629,15.64013576390798
163,19.05874455844729,11825414.8,79795,7.524893994441307
734,24.587009905883985,14124614.8,263228,12.806908215555028
1164,26.08455800265584,15774189.8,463200,14.246108584965794
1899,29.30998509101126,17172021.05,933538,17.45646147317809
1839,29.05171690376577,17033702.3,636148,17.11840092462726
2006,29.60232049898868,17331758.54,560480,17.727305808058144
493,24.03485322821861,13236464.8,156318,12.317665363309942
1523,27.287121363478537,16421152.3,605013,15.706028616664389
1096,25.910651642787165,15444764.8,431043,14.135117065108409
1568,27.550895071449265,16560439.8,688857,15.601627709044347
495,24.03485322821861,13243939.8,193143,12.10060085812632
1784,28.87228970499818,16930352.3,568469,16.90015702417203
1858,29.091959020044204,17070889.8,521910,17.298077242060828
1753,28.68533314570008,16870852.3,770450,16.87385248702752
222,20.377118543883952,12101064.8,156258,9.113391889526657
240,20.88956233817724,12182864.8,126405,9.172374473469604
89,17.257752652703065,11478289.8,67473,5.55268614831643
1625,27.74434980123555,16619514.8,783622,15.961176856099966
322,22.17023609386232,12534589.8,165225,10.471175613545316
730,24.586320517129383,14110364.8,222862,12.759698811152116
619,24.428042139374583,13710164.8,272861,12.601420433386547
1758,28.73296119468933,16880639.8,713590,16.91898368257861
10,16.125695983122313,11143289.8,80910,4.490425240994624
494,24.03485322821861,13240339.8,234683,12.317665363309942
342,22.53478317576969,12621264.8,165204,10.694462625346286
1723,28.43302270140057,16811152.3,1053533,16.768294352631916
591,24.41233203039847,13606839.8,185544,12.47807966004166
1574,27.550895071449265,16570602.3,529977,15.22272962837552
658,24.51775263539847,13852839.8,250546,12.800564770445575
744,24.587009905883985,14161639.8,246460,12.621985877073868
1645,28.00258467236103,16710752.3,960573,15.878834814820934
1703,28.256959546795045,16770477.3,1094029,16.547510032684656
1971,29.598133472634466,17293821.04,507621,17.792082707036073
1618,27.74434980123555,16605614.8,727434,15.75905267200796
1659,27.93850581567651,16681252.3,951196,16.148578299138293
130,18.280648469395757,11670364.8,56485,6.726284365568493
1280,26.260600103964947,15937552.3,602670,14.411855014179238
1320,26.38274805270603,16037802.3,568515,14.614733285985864
1890,29.30998509101126,17155583.55,609579,17.39145664294347
632,24.50681121919731,13809889.8,215717,12.510038491883783
154,18.818242702953476,11784014.8,105735,7.338726489846018
1629,27.813342672722506,16627589.8,850054,16.15266734627092
384,22.90406924509412,12795014.8,190988,11.268798502561454
195,20.051742639692595,11982514.8,116404,8.47113030969876
1110,25.99112399600974,15548314.8,424165,14.109856281395867
64,16.875874900311366,11370314.8,60868,5.234970340098666
1722,28.43302270140057,16808989.8,1090522,16.7329965706009
1415,26.85666387994306,16219489.8,734444,15.06954707543748
141,18.53960578238639,11722814.8,79120,6.985241678389735
1631,27.813342672722506,16631527.3,818815,16.010891883666595
522,24.26889326072231,13350614.8,249289,12.527012782976984
1522,27.291343748358383,16446264.8,642954,15.706028616664389
552,24.306385814300345,13464439.8,204185,12.660307055367928
1325,26.459838134425603,16046964.8,638084,14.533629155659623
339,22.43887102180257,12610364.8,153922,10.673555940568482
759,24.61114956518841,14218289.8,311054,12.784527859216942
1922,29.414412335486087,17192546.05,495719,17.672437294011484
518,24.26889326072231,13335439.8,211997,12.428572710251288
699,24.567385726424003,13950314.8,268332,12.706158491286574
1752,28.68533314570008,16868989.8,773228,16.92615198642139
1463,26.98093342482905,16308714.8,690007,15.046632240277146
764,24.58587990103601,14032939.8,277531,12.724652665799873
1696,28.256959546795045,16757502.3,1112381,16.48498967517841
790,24.6232570483854,14236439.8,313893,12.78293649812228
755,24.61114956518841,14204289.8,271049,12.69937005091402
428,23.54574301114768,12976864.8,161249,11.619037846705904
185,19.7840359724619,11939789.8,77879,8.346879033210609
945,25.00992052374961,14911014.8,427478,13.183298817735214
800,24.6232570483854,14274114.8,322375,12.856058762924238
218,20.377118543883952,12081714.8,184047,8.701727807586831
1630,27.813342672722506,16629639.8,873937,16.093478474602563
1647,28.00258467236103,16714114.8,818583,15.966610425765234
1619,27.74434980123555,16607602.3,819066,15.999643136976324
505,24.118771488869186,13285439.8,193225,12.389313531278404
1511,27.291343748358383,16426577.3,741906,15.401117766792714
1957,29.579784333966263,17268333.54,506835,17.856366165872714
1148,26.06560008891122,15713664.8,546794,14.110524076566508
159,19.05874455844729,11807489.8,76596,7.291546272613948
467,23.705388211609577,13128939.8,196052,12.092340605686664
1702,28.256959546795045,16768414.8,1003665,16.445510864144172
858,24.76557381905115,14583539.8,294414,13.017423728502996
262,21.305228324763863,12280414.8,106540,9.703109789776114
834,24.687878302147706,14493914.8,276354,12.76866380921324
1536,27.41410811436497,16449589.8,634632,15.440650913612494
1007,25.51075757972846,15159589.8,688829,13.79384751487533
785,24.62911756626158,14365714.8,232177,12.887237088744868
268,21.38668920501637,12307614.8,142621,9.73529368156326
1613,27.726331295732876,16596589.8,628485,15.839617675617015
239,20.88956233817724,12178264.8,122662,9.259893851413045
215,20.377118543883952,12068189.8,178033,8.653814451878691
1867,29.22838644712838,17087958.55,587881,17.35311725605268
1170,26.08455800265584,15786214.8,475270,14.22520190293925
930,24.910618767897788,14851739.8,380647,13.174968840152308
1502,27.24388696450511,16385764.8,667449,15.410085932227686
1851,29.091959020044204,17056877.3,467761,17.361793056560746
392,23.070415047320992,12827264.8,184279,11.429510486996175
816,24.67984730065494,14427939.8,298836,12.906218124772812
879,24.80647110755387,14660964.8,326824,12.923890747957444
1861,29.11716081201816,17077402.3,655694,17.57626080736689
771,24.58587990103601,14059864.8,283760,12.681480494079128
1835,29.02230301855948,17026552.3,617388,17.242713434724724
397,23.070415047320992,12847839.8,175324,11.48980271725692
1720,28.43302270140057,16804914.8,953007,16.625638052042493
1101,25.910651642787165,15464564.8,454721,14.179288283322892
608,24.40562741024972,13567739.8,209946,12.565046650601346
238,20.88956233817724,12173764.8,130234,9.259893851413045
1048,25.785860869973376,15268089.8,456138,13.995387270226596
46,16.584889296213635,11298264.8,48785,4.997546004556285
507,24.118771488869186,13294114.8,168990,12.466503169988563
1075,25.841259649363167,15417564.8,435519,14.182371118143704
128,18.280648469395757,11662814.8,73269,6.710618248775504
881,24.80647110755387,14668889.8,353417,13.14270840933722
1133,26.016570661670904,15681764.8,510791,14.156910376942935
395,23.070415047320992,12838639.8,146489,11.277241275278636
278,21.508922857288727,12350439.8,172443,9.959726723835416
1565,27.550895071449265,16555289.8,705051,15.731305532395917
754,24.61114956518841,14200689.8,260538,12.69937005091402
1958,29.579784333966263,17270021.04,614057,17.66789074347573
528,24.278684810950043,13372764.8,164737,12.45884279173941
1376,26.76827115098242,16146664.8,689329,15.020525165724507
1789,28.87228970499818,16939339.8,442843,16.96124471584012
1674,27.93112570837889,16661152.3,1084885,16.22984159510537
1334,26.459838134425603,16063789.8,470730,14.761273839816663
1624,27.74434980123555,16617602.3,780257,15.86521286783738
61,16.875874900311366,11357764.8,68676,5.115066413198871
1611,27.726331295732876,16592752.3,758808,16.08851372308738
210,20.228121089582736,12046089.8,199264,8.615073483831674
1884,29.256332377518937,17120758.55,555077,17.4950314528012
1286,26.26452938210484,15948177.3,628572,14.429591139135283
1759,28.73296119468933,16882489.8,739570,16.9122496505277
1088,25.910651642787165,15517164.8,434758,14.061611869198892
1895,29.30998509101126,17164921.05,627020,17.406271728588667
1639,27.838035285312877,16648964.8,730711,16.380443783757233
1003,25.51075757972846,15141864.8,531737,13.829779524329815
84,17.257752652703065,11457364.8,65888,5.360679285448418
1183,26.08455800265584,15808364.8,477076,14.121843513827455
526,24.271681700894188,13365289.8,188828,12.530534720527678
301,21.864162466385118,12449864.8,201181,10.251114860426616
520,24.26889326072231,13342539.8,176285,12.414683598320138
860,24.76557381905115,14590739.8,334615,12.882993459274427
341,22.53478317576969,12617914.8,158684,10.70133550477069
716,24.624154903230973,14315289.8,231657,12.7049404104284
645,24.443471314705103,13752364.8,215607,12.791202995828188
1844,29.05171690376577,17043189.8,514455,17.272551604507058
1016,25.69307913652241,15199364.8,497789,14.134328554366515
1975,29.598133472634466,17301308.54,633994,17.744292043342643
313,22.06239620819593,12498389.8,208074,10.36930589473645
