,price(USD),averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1913,7950.4,5.18E+12,17148658.55,717598,42991333.57
1914,8169.06,5.18E+12,17150471.05,564178,37327804.6
1915,8205.82,5.6E+12,17178971.05,484547,50277183.1
1916,8221.58,5.95E+12,17180646.05,636120,39630250.21
1917,8181.2,5.95E+12,17182483.55,690053,43474975.98
1918,7769.04,5.95E+12,17184358.55,705913,44362220.38
1919,7634.19,5.95E+12,17186271.05,634184,45249464.79
1920,7562.14,5.95E+12,17188346.05,688873,49094190.56
1921,7438.67,5.95E+12,17190546.05,542819,52051671.92
1922,7031.08,5.95E+12,17192546.05,495719,47319701.74
1923,7062.94,5.95E+12,17194183.55,654516,38743005.8
1924,6958.32,5.95E+12,17196071.05,706511,44657968.52
1925,6746.85,5.95E+12,17198033.55,649793,46432457.33
1926,6305.56,5.95E+12,17199896.05,629986,44066472.25
1927,6571.42,5.95E+12,17202096.04,658540,52051671.92
1928,6185.79,6.2E+12,17204221.04,525917,52376369.9
1929,6283.65,6.39E+12,17206158.54,477955,49230273.08
1930,6341.36,6.39E+12,17208033.54,611815,47642199.75
1931,6287.66,6.39E+12,17209733.54,657023,43195594.44
1932,6221.42,6.39E+12,17211746.04,680561,51135961.07
1933,6294.23,6.39E+12,17213721.04,620660,50183117.07
1934,6340.91,6.39E+12,17215621.04,652818,48277429.08
1935,6583.43,6.39E+12,17217621.04,502019,50818346.4
1936,6422.57,6.39E+12,17219433.54,514313,46054126.43
1937,6500.51,6.39E+12,17221308.54,623598,47642199.75
1938,6301.07,6.39E+12,17223158.54,589708,47006970.42
1939,6486.25,6.39E+12,17225158.54,638156,50818346.4
1940,6371.34,6.39E+12,17227021.04,569277,47324585.09
1941,6551.52,6.51E+12,17228846.04,632142,48824180.03
1942,6719.95,6.73E+12,17239946.04,548608,45145645.91
1943,6754.64,6.73E+12,17242108.54,502611,57853309.21
1944,6710.8,6.73E+12,17244421.04,664869,61866255.51
1945,6891.08,6.73E+12,17246333.54,663743,51165065.37
1946,7091.71,6.73E+12,17248071.04,669404,46483294.68
1947,7043.76,6.73E+12,17249996.04,621242,51499477.56
1948,6973.97,6.73E+12,17251933.54,651131,51833889.75
1949,7044.81,6.73E+12,17253821.04,564630,50496240.99
1950,7189.58,6.73E+12,17255621.04,495998,48155355.64
1951,7279.03,6.73E+12,17257421.04,613352,48155355.64
1952,7263,6.73E+12,17258996.04,629625,42135936.19
1953,7361.46,6.73E+12,17260646.04,664157,44142409.34
1954,6755.14,6.73E+12,17262521.04,666558,50161828.79
1955,6528.92,6.97E+12,17264421.04,689985,52673943.17
1956,6460.17,7.02E+12,17266296.04,546144,52338942.95
1957,6223.38,7.02E+12,17268333.54,506835,56874984.68
1958,6301.57,7.02E+12,17270021.04,614057,47105048.66
1959,6331.88,7.02E+12,17271783.54,651098,49198606.38
1960,6317.01,7.02E+12,17273883.54,599503,58619616.11
1961,6354.24,7.02E+12,17275733.54,608107,51641090.38
1962,6515.41,7.02E+12,17277383.54,620772,46058269.8
1963,6509.4,7.02E+12,17279133.54,558339,48849680.09
1964,6536.68,7.02E+12,17280871.04,470139,48500753.8
1965,6514.06,7.02E+12,17282558.54,631067,47105048.66
1966,6280.91,7.02E+12,17284333.54,638235,49547532.66
1967,6371.85,7.02E+12,17286283.54,631546,54432500.67
1968,6398.85,7.03E+12,17288208.54,628587,54756137.2
1969,6513.87,7.15E+12,17290008.54,715507,51200543.88
1970,6735.05,7.15E+12,17291946.04,562522,55111696.54
1971,6715.32,7.15E+12,17293821.04,507621,53333899.87
1972,6704.77,7.15E+12,17295671.04,614679,52622781.21
1973,6603.64,7.15E+12,17297783.54,648244,60089527.19
1974,6452.79,7.15E+12,17299521.04,628119,49422747.22
1975,6495.29,7.15E+12,17301308.54,633994,50844984.55
1976,6678.75,7.15E+12,17303233.54,673177,54756137.2
1977,6643.1,7.15E+12,17305133.54,552202,54045018.54
1978,6604.71,7.15E+12,17307171.04,532067,57956171.2
1979,6619.85,7.15E+12,17309146.04,672475,56178374.53
1980,6593.24,7.15E+12,17310858.54,678543,48711628.55
1981,6553.86,7.15E+12,17312671.04,694010,51556103.21
1982,6497.91,7.36E+12,17364796.04,642395,54911962.63
1983,6574.15,7.45E+12,17368146.04,688115,48176505.21
1984,6622.45,7.45E+12,17369708.54,588478,46323562.7
1985,6590.68,7.45E+12,17371483.54,598361,52623567.23
1986,6600.19,7.45E+12,17373171.04,646076,50029447.71
1987,6653.08,7.45E+12,17374796.04,621386,48176505.21
1988,6640.29,7.45E+12,17376596.04,642600,53364744.23
1989,6586.74,7.45E+12,17378583.54,686810,58923571.75
1990,6239.25,7.45E+12,17380233.54,693363,48917682.21
1991,6278.08,7.45E+12,17381996.04,573912,52252978.72
1992,6288.49,7.45E+12,17383421.04,524084,42247089.18
1993,6292.64,7.45E+12,17385446.04,699171,60035337.26
1994,6601.41,7.45E+12,17387133.54,678723,50029447.71
1995,6590.52,7.45E+12,17388858.54,673361,51141213.22
1996,6542.33,7.43E+12,17366521.04,654573,49274490.48
1997,6478.07,7.18E+12,17316021.04,685201,50702736.58
1998,6460.92,7.18E+12,17317808.54,593963,51059798.11
1999,6490.09,7.18E+12,17319533.54,554355,49274490.48
2000,6486.05,7.18E+12,17321471.04,676895,55344536.41
2001,6472.36,7.18E+12,17323396.04,683587,54987474.89
2002,6478.89,7.18E+12,17324808.54,637741,40347952.35
2003,6484.65,7.18E+12,17326521.04,659220,48917428.96
2004,6468.44,7.18E+12,17328308.54,691997,51059798.11
2005,6480.84,7.18E+12,17330008.54,580054,48560367.43
2006,6482.66,7.18E+12,17331758.54,560480,49988613.53
2007,6492.35,7.18E+12,17333583.54,708285,52130982.68
2008,6337.04,7.18E+12,17335508.54,697601,54987474.89
2009,6336.99,7.18E+12,17337546.04,707291,58201028.61
