,price(USD),averageDifficulty,cumulative total number of coins,activeAddresses,Daily Hash Rate(Trillions of hashes/s)
1569,4384.44,9.23E+11,16562677.3,860903,8215055.493
1570,4324.34,9.23E+11,16564539.8,728856,6838230.55
1571,4137.75,9.23E+11,16566427.3,713770,6930018.879
1572,4189.31,9.23E+11,16568052.3,617442,5966241.419
1573,4090.48,9.23E+11,16569489.8,633972,5277828.948
1574,3998.35,9.23E+11,16570602.3,529977,4084580.664
1575,4089.01,9.23E+11,16572589.8,843676,7297172.197
1576,4137.6,8.92E+11,16522389.8,548838,4459277.508
1577,4332.82,8.88E+11,16499464.8,578206,4459277.508
1578,4372.06,8.88E+11,16500777.3,618641,4635882.557
1579,4345.1,8.88E+11,16502714.8,749676,6843445.68
1580,4384.45,8.88E+11,16504327.3,654533,5695512.856
1581,4389.21,8.88E+11,16506189.8,795732,6578538.105
1582,4570.36,8.88E+11,16508289.8,799696,7417412.092
1583,4555.59,8.88E+11,16510327.3,797085,7196655.78
1584,4701.76,8.88E+11,16512502.3,782822,7682319.667
1585,4901.42,8.88E+11,16514552.3,694986,7240807.042
1586,4585.27,8.88E+11,16516477.3,586966,6799294.418
1587,4591.63,8.88E+11,16518664.8,752544,7726470.929
1588,4228.29,8.88E+11,16521127.3,784428,8697798.703
1589,4376.59,9.03E+11,16524414.8,776418,7430760.766
1590,4589.14,9.23E+11,16526614.8,768389,8072925.277
1591,4605.16,9.23E+11,16528802.3,825480,8027056.383
1592,4229.81,9.23E+11,16530914.8,627154,7751843.021
1593,4229.34,9.23E+11,16532639.8,558828,6329907.319
1594,4122.47,9.23E+11,16534814.8,734974,7981187.489
1595,4168.88,9.23E+11,16537164.8,710521,8623352
1596,4131.98,9.23E+11,16539539.8,718715,8715089.787
1597,3875.37,9.23E+11,16541714.8,773640,7981187.489
1598,3166.3,9.23E+11,16543964.8,833211,8256400.851
1599,3637.75,9.23E+11,16546077.3,647176,7751843.021
1600,3606.28,9.23E+11,16548277.3,588671,8072925.277
1601,3591.09,1.05E+12,16574177.3,673775,6965995.452
1602,4073.79,1.1E+12,16576127.3,786890,8556655.83
1603,3916.36,1.1E+12,16577589.8,620733,6417491.873
1604,3901.47,1.1E+12,16579789.8,694714,9653662.988
1605,3628.02,1.1E+12,16581527.3,649021,7624199.746
1606,3629.92,1.1E+12,16583602.3,568729,9105159.409
1607,3796.15,1.1E+12,16585414.8,532701,7953301.894
1608,3681.58,1.1E+12,16586977.3,658174,6856294.736
1609,3928.41,1.1E+12,16588702.3,728985,7569349.388
1610,3892.94,1.1E+12,16590539.8,691464,8063002.609
1611,4197.13,1.1E+12,16592752.3,758808,9708513.346
1612,4171.62,1.1E+12,16594864.8,743932,9269710.483
1613,4166.11,1.1E+12,16596589.8,628485,7569349.388
1614,4341.05,1.1E+12,16598214.8,624785,7130546.525
1615,4395.81,1.12E+12,16600089.8,815069,8380132.04
1616,4408.46,1.12E+12,16602377.3,785914,10223761.09
1617,4319.37,1.12E+12,16604052.3,639802,7486251.289
1618,4229.88,1.12E+12,16605614.8,727434,6983443.366
1619,4324.46,1.12E+12,16607602.3,819066,8882939.962
1620,4369.35,1.12E+12,16609577.3,670951,8827072.415
1621,4429.67,1.12E+12,16611852.3,689838,10167893.54
1622,4614.52,1.12E+12,16613864.8,800806,8994675.056
1623,4776.21,1.12E+12,16615864.8,826210,8938807.509
1624,4789.25,1.12E+12,16617602.3,780257,7765589.023
1625,4829.58,1.12E+12,16619514.8,783622,8547734.68
1626,5464.16,1.12E+12,16621214.8,819164,7597986.383
1627,5643.53,1.12E+12,16622977.3,796789,7877324.117
1628,5835.96,1.18E+12,16625414.8,826707,11601113.07
1629,5687.57,1.2E+12,16627589.8,850054,10351762.43
1630,5741.58,1.2E+12,16629639.8,873937,9756833.552
1631,5603.82,1.2E+12,16631527.3,818815,8983426.015
1632,5583.74,1.2E+12,16633752.3,910174,10589733.98
1633,5708.11,1.2E+12,16635989.8,850258,10649226.87
1634,5996.79,1.2E+12,16637902.3,805473,9102411.79
1635,6036.66,1.2E+12,16640177.3,981728,10827705.53
1636,6006,1.2E+12,16642314.8,877356,10173283.77
1637,5935.52,1.2E+12,16644402.3,957976,9935312.215
1638,5524.6,1.2E+12,16646714.8,919336,11006184.19
1639,5747.95,1.23E+12,16648964.8,730711,12999790.29
1640,5899.74,1.45E+12,16702252.3,673653,7510989.944
1641,5787.82,1.45E+12,16703314.8,555051,6138789.858
1642,5754.44,1.45E+12,16705239.8,911592,11122042.8
1643,6114.85,1.45E+12,16707077.3,889430,10616495.4
1644,6132.02,1.45E+12,16708802.3,829238,9966505.887
1645,6440.97,1.45E+12,16710752.3,960573,7872095.229
1646,6777.77,1.45E+12,16712627.3,916843,10833158.57
1647,7087.53,1.45E+12,16714114.8,818583,8594305.801
1648,7164.48,1.45E+12,16715739.8,800319,9388737.429
1649,7404.52,1.45E+12,16717502.3,803250,10183169.06
1650,7403.22,1.45E+12,16719164.8,825192,9605400.601
1651,7023.1,1.45E+12,16721114.8,939818,11266484.92
1652,7141.38,1.45E+12,16722914.8,860914,10399832.23
1653,7446.83,1.45E+12,16724827.3,945888,11049821.74
1654,7173.73,1.42E+12,16700952.3,795418,8139094.745
