,price(USD),averageDifficulty,Daily Hash Rate(Trillions of hashes/s),cumulative total number of coins,activeAddresses
0,4.9344739331306915,16.125695983122313,4.278454990253616,11102989.8,83564
1,4.756860699228524,16.125695983122313,4.2990742774789865,11106339.8,81920
2,4.665794807804526,16.125695983122313,4.2990742774789865,11109764.8,82804
3,4.585987366571318,16.125695983122313,4.34559429307684,11113739.8,69959
4,4.726502471155617,16.125695983122313,4.402391891409528,11117864.8,72103
5,4.7534177624482945,16.125695983122313,4.402391891409528,11122014.8,85164
6,4.720728526622364,16.125695983122313,4.402391891409528,11126214.8,109067
7,4.696837374513915,16.125695983122313,4.420629478980707,11130339.8,102388
8,4.729156165769083,16.125695983122313,4.420629478980707,11134439.8,81894
9,4.725616339063959,16.125695983122313,4.473427664607467,11138739.8,84293
10,4.768139014266231,16.125695983122313,4.490425240994624,11143289.8,80910
11,4.750481917148146,16.14776424814305,4.490425240994624,11147489.8,69607
12,4.743365684739491,16.23028596177717,4.403664255892363,11151839.8,82796
13,4.770515118574929,16.23028596177717,4.403664255892363,11155689.8,83723
14,4.713127327493184,16.23028596177717,4.403664255892363,11159214.8,84715
15,4.738126413236717,16.23028596177717,4.4946360341246825,11162914.8,84113
16,4.772462703762286,16.23028596177717,4.403664255892363,11166939.8,78407
17,4.816241156068032,16.23028596177717,4.403664255892363,11170664.8,68328
18,4.813890216636577,16.23028596177717,4.340485354316039,11174564.8,64189
19,4.808111029984782,16.23028596177717,4.417177975063191,11177789.8,71628
20,4.804184965723707,16.23028596177717,4.417177975063191,11181564.8,82536
21,4.811289646296506,16.23028596177717,4.4946360341246825,11185464.8,74758
22,4.818667360250496,16.23028596177717,4.500828004318828,11189814.8,83223
23,4.838660029356445,16.23028596177717,4.500828004318828,11194039.8,84914
24,4.891100725401066,16.253566143437926,4.577470559725338,11198164.8,69588
25,4.882726162140863,16.313120487511075,4.64356067190579,11202239.8,69622
26,4.894101477840304,16.313120487511075,4.64356067190579,11206639.8,73955
27,4.8657636527491395,16.313120487511075,4.620030174426858,11210589.8,76189
